"","county_fips","county_name","state_name","population","id"
"583","16053","Jerome","Idaho",0,"16053"
"584","16055","Kootenai","Idaho",1,"16055"
"585","16057","Latah","Idaho",1,"16057"
"586","16059","Lemhi","Idaho",0,"16059"
"587","16061","Lewis","Idaho",0,"16061"
"588","16063","Lincoln","Idaho",0,"16063"
"589","16065","Madison","Idaho",0,"16065"
"590","16067","Minidoka","Idaho",1,"16067"
"591","16069","Nez Perce","Idaho",0,"16069"
"592","16071","Oneida","Idaho",0,"16071"
"593","16073","Owyhee","Idaho",0,"16073"
"594","16075","Payette","Idaho",0,"16075"
"595","16077","Power","Idaho",0,"16077"
"596","16079","Shoshone","Idaho",0,"16079"
"597","16081","Teton","Idaho",0,"16081"
"598","16083","Twin Falls","Idaho",0,"16083"
"599","16085","Valley","Idaho",0,"16085"
"600","16087","Washington","Idaho",0,"16087"
"601","17001","Adams","Illinois",49,"17001"
"602","17003","Alexander","Illinois",0,"17003"
"603","17005","Bond","Illinois",15,"17005"
"604","17007","Boone","Illinois",79,"17007"
"605","17009","Brown","Illinois",5,"17009"
"606","17011","Bureau","Illinois",36,"17011"
