"","county_fips","county_name","state_name","state_id","population","id"
"271","08043","Fremont","Colorado","CO",0,"08043"
"272","08045","Garfield","Colorado","CO",0,"08045"
"273","08047","Gilpin","Colorado","CO",0,"08047"
"274","08049","Grand","Colorado","CO",0,"08049"
"275","08051","Gunnison","Colorado","CO",0,"08051"
"276","08053","Hinsdale","Colorado","CO",0,"08053"
"277","08055","Huerfano","Colorado","CO",0,"08055"
"278","08057","Jackson","Colorado","CO",0,"08057"
"279","08059","Jefferson","Colorado","CO",22,"08059"
"280","08061","Kiowa","Colorado","CO",0,"08061"
"281","08063","Kit Carson","Colorado","CO",0,"08063"
"282","08065","Lake","Colorado","CO",0,"08065"
"283","08067","La Plata","Colorado","CO",2,"08067"
"284","08069","Larimer","Colorado","CO",11,"08069"
"285","08071","Las Animas","Colorado","CO",0,"08071"
"286","08073","Lincoln","Colorado","CO",1,"08073"
"287","08075","Logan","Colorado","CO",0,"08075"
"288","08077","Mesa","Colorado","CO",0,"08077"
"289","08079","Mineral","Colorado","CO",0,"08079"
"290","08081","Moffat","Colorado","CO",1,"08081"
"291","08083","Montezuma","Colorado","CO",0,"08083"
"292","08085","Montrose","Colorado","CO",0,"08085"
"293","08087","Morgan","Colorado","CO",0,"08087"
"294","08089","Otero","Colorado","CO",2,"08089"
"295","08091","Ouray","Colorado","CO",0,"08091"
"296","08093","Park","Colorado","CO",0,"08093"
"297","08095","Phillips","Colorado","CO",0,"08095"
"298","08097","Pitkin","Colorado","CO",0,"08097"
"299","08099","Prowers","Colorado","CO",0,"08099"
"300","08101","Pueblo","Colorado","CO",0,"08101"
"301","08103","Rio Blanco","Colorado","CO",0,"08103"
"302","08105","Rio Grande","Colorado","CO",1,"08105"
"303","08107","Routt","Colorado","CO",1,"08107"
"304","08109","Saguache","Colorado","CO",0,"08109"
"305","08111","San Juan","Colorado","CO",0,"08111"
"306","08113","San Miguel","Colorado","CO",0,"08113"
"307","08115","Sedgwick","Colorado","CO",0,"08115"
"308","08117","Summit","Colorado","CO",0,"08117"
"309","08119","Teller","Colorado","CO",0,"08119"
"310","08121","Washington","Colorado","CO",0,"08121"
"311","08123","Weld","Colorado","CO",10,"08123"
"312","08125","Yuma","Colorado","CO",0,"08125"
"313","09001","Fairfield","Connecticut","CT",53,"09001"
"314","09003","Hartford","Connecticut","CT",47,"09003"
"315","09005","Litchfield","Connecticut","CT",6,"09005"
"316","09007","Middlesex","Connecticut","CT",3,"09007"
"317","09009","New Haven","Connecticut","CT",33,"09009"
"318","09011","New London","Connecticut","CT",13,"09011"
"319","09013","Tolland","Connecticut","CT",9,"09013"
"320","09015","Windham","Connecticut","CT",11,"09015"
"321","10001","Kent","Delaware","DE",0,"10001"
"322","10003","New Castle","Delaware","DE",23,"10003"
"323","10005","Sussex","Delaware","DE",3,"10005"
"324","11001","District of Columbia","District of Columbia","DC",250,"11001"
"325","12001","Alachua","Florida","FL",14,"12001"
"326","12003","Baker","Florida","FL",3,"12003"
"327","12005","Bay","Florida","FL",6,"12005"
"328","12007","Bradford","Florida","FL",0,"12007"
"329","12009","Brevard","Florida","FL",12,"12009"
"330","12011","Broward","Florida","FL",51,"12011"
"331","12013","Calhoun","Florida","FL",3,"12013"
"332","12015","Charlotte","Florida","FL",0,"12015"
"333","12017","Citrus","Florida","FL",1,"12017"
"334","12019","Clay","Florida","FL",3,"12019"
"335","12021","Collier","Florida","FL",6,"12021"
"336","12023","Columbia","Florida","FL",1,"12023"
"337","12027","DeSoto","Florida","FL",0,"12027"
"338","12029","Dixie","Florida","FL",0,"12029"
"339","12031","Duval","Florida","FL",31,"12031"
"340","12033","Escambia","Florida","FL",13,"12033"
"341","12035","Flagler","Florida","FL",1,"12035"
"342","12037","Franklin","Florida","FL",0,"12037"
"343","12039","Gadsden","Florida","FL",0,"12039"
"344","12041","Gilchrist","Florida","FL",0,"12041"
"345","12043","Glades","Florida","FL",0,"12043"
"346","12045","Gulf","Florida","FL",0,"12045"
"347","12047","Hamilton","Florida","FL",1,"12047"
"348","12049","Hardee","Florida","FL",0,"12049"
"349","12051","Hendry","Florida","FL",0,"12051"
"350","12053","Hernando","Florida","FL",0,"12053"
"351","12055","Highlands","Florida","FL",1,"12055"
"352","12057","Hillsborough","Florida","FL",36,"12057"
"353","12059","Holmes","Florida","FL",0,"12059"
"354","12061","Indian River","Florida","FL",1,"12061"
"355","12063","Jackson","Florida","FL",5,"12063"
"356","12065","Jefferson","Florida","FL",0,"12065"
"357","12067","Lafayette","Florida","FL",1,"12067"
"358","12069","Lake","Florida","FL",4,"12069"
"359","12071","Lee","Florida","FL",10,"12071"
"360","12073","Leon","Florida","FL",7,"12073"
"361","12075","Levy","Florida","FL",0,"12075"
"362","12077","Liberty","Florida","FL",1,"12077"
"363","12079","Madison","Florida","FL",2,"12079"
