zipCode,population,year
13246,1,2022
13311,1,2022
13313,1,2022
13315,1,2022
13316,1,2022
13322,1,2022
13326,1,2022
13327,1,2022
13340,1,2022
13374,1,2022
13410,1,2022
13411,1,2022
13420,2,2022
13430,1,2022
13440,1,2022
13450,1,2022
13456,1,2022
13457,1,2022
13468,1,2022
13491,1,2022
13492,1,2022
13499,1,2022
13500,1,2022
13520,3,2022
13523,1,2022
13525,1,2022
13528,1,2022
13530,2,2022
13536,1,2022
13544,1,2022
13554,4,2022
13555,3,2022
13556,2,2022
13562,3,2022
13566,3,2022
13573,1,2022
13581,3,2022
13582,2,2022
13586,3,2022
13588,2,2022
13592,1,2022
13596,1,2022
13597,3,2022
13599,1,2022
13604,1,2022
13608,1,2022
13609,1,2022
13611,2,2022
13612,1,2022
13613,2,2022
13618,1,2022
13643,1,2022
13720,1,2022
13735,1,2022
13783,1,2022
13787,1,2022
13800,1,2022
13803,1,2022
13820,1,2022
13830,1,2022
13840,1,2022
13850,1,2022
13868,1,2022
13889,1,2022
13930,1,2022
13959,1,2022
13976,2,2022
14000,2,2022
14001,1,2022
14024,1,2022
14030,1,2022
14031,1,2022
14032,1,2022
14043,1,2022
14050,1,2022
14055,1,2022
14060,1,2022
14067,1,2022
14074,1,2022
14075,1,2022
14076,1,2022
14100,4,2022
14101,3,2022
14105,1,2022
14120,1,2022
14158,1,2022
14199,1,2022
14202,1,2022
14206,1,2022
14207,1,2022
14221,1,2022
14223,1,2022
14224,2,2022
14225,2,2022
14226,3,2022
14227,1,2022
14228,2,2022
14230,1,2022
14236,1,2022
14240,3,2022
14242,1,2022
14253,1,2022
14300,2,2022
14301,1,2022
14304,2,2022
14313,1,2022
14350,1,2022
14375,1,2022
14400,2,2022
14414,1,2022
14420,3,2022
14445,1,2022
14450,4,2022
14460,2,2022
14470,1,2022
14487,1,2022
14502,1,2022
14534,2,2022
14539,1,2022
14547,1,2022
14548,1,2022
14564,2,2022
14580,2,2022
14586,2,2022
14604,1,2022
14606,1,2022
14607,1,2022
14616,2,2022
14618,2,2022
14620,1,2022
14621,1,2022
14623,2,2022
14624,1,2022
14739,1,2022
14744,1,2022
14778,1,2022
14787,1,2022
14850,5,2022
14894,1,2022
14904,1,2022
14938,2,2022
15000,19,2022
15001,3,2022
15002,2,2022
15004,4,2022
15006,1,2022
